id,mz,rt,area,height,detected_rate,has_ms2,detected:fraction:POC,mean_area:fraction:POC,detected:fraction:WSOC,mean_area:fraction:WSOC,log2FC:fraction:POC_vs_WSOC,welch_p:fraction:POC_vs_WSOC,welch_q:fraction:POC_vs_WSOC,detected:day_type:weekday,mean_area:day_type:weekday,detected:day_type:weekend,mean_area:day_type:weekend,log2FC:day_type:weekday_vs_weekend,welch_p:day_type:weekday_vs_weekend,welch_q:day_type:weekday_vs_weekend
16021,354.26371,12.5953,7016.0,64010.0,0.05555555555555555,False,False,206.52777777777777,True,3647.4166666666665,-4.14246727611241,2.0872433208634083e-06,1.0283365107505777e-05,False,1425.4583333333333,True,2930.0,-1.0394747952572514,0.10478412866330958,0.3450125254134237
16022,253.12242,12.5929,60570.0,86200.0,0.05555555555555555,False,True,7676.761111111112,False,671.0999999999999,3.515898092136069,0.06485189835225244,0.08800642798616776,False,1166.8083333333332,True,10188.175000000001,-3.126256145575581,0.11319425393707935,0.3524047080706943
16024,364.27478,12.5893,20270.0,190500.0,0.2222222222222222,False,True,5804.872222222222,False,0.0,inf,0.0014247294989986631,0.0030290446124042283,True,989.0708333333333,True,6729.166666666667,-2.766282104074543,0.029995384846950048,0.3075247329863302
16026,205.10132,12.5687,9738.0,62470.0,0.027777777777777776,False,True,2018.1777777777777,False,23.33888888888889,6.4341735750494395,0.0051169078322143655,0.009379947423954536,False,252.26250000000002,True,2557.75,-3.34187759498343,0.027798414807456005,0.3075247329863302
16027,269.1174,12.5798,28880.0,66140.0,0.0,False,False,1049.961111111111,False,672.05,0.6436954162477476,0.4164336385970704,0.4492156688480763,False,657.1999999999999,False,1268.6166666666666,-0.9488518156581388,0.3488680229773278,0.5476487241398852
16028,460.15719,12.5993,12020.0,86620.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
16031,428.16043,12.605,45550.0,502600.0,0.25,False,True,12087.222222222223,True,7256.666666666667,0.7361038285453633,0.40494630466485004,0.4378155616441832,True,9065.416666666666,True,10885.0,-0.26389617145463673,0.7848411622160811,0.8771364204288216
16033,370.17602,12.6086,16520.0,72350.0,0.05555555555555555,False,False,663.1277777777777,True,3221.8999999999996,-2.2805529225052803,0.015782596815626836,0.025524808214108973,True,2621.816666666667,False,583.9083333333333,2.166753001069944,0.013899938598822634,0.301247063202521
16034,400.12914,12.607,17960.0,190000.0,0.25,False,True,4213.277777777777,True,2722.777777777778,0.629863794485438,0.48248429471092946,0.514525764042237,True,3159.9583333333335,True,4084.1666666666665,-0.3701362055145618,0.7104803437514507,0.8279087908202637
16035,282.14905,12.6172,49440.0,155300.0,0.08333333333333333,False,True,7330.144444444445,False,17.744444444444444,8.690330411302572,0.019929151333689554,0.03134130138425452,False,828.3166666666666,True,9365.199999999999,-3.4990554817927833,0.06839663223018672,0.3291523710053948
16036,383.10263,12.6112,15290.0,173200.0,0.25,False,True,4256.666666666667,True,2401.6666666666665,0.8256881895279765,0.3514367118672014,0.3843243975493281,True,3192.5,True,3602.5,-0.17431181047202365,0.8548131669815234,0.9188163800528028
16038,272.25857,12.638,36510.0,297200.0,0.027777777777777776,False,False,4809.777777777777,True,2143.8277777777776,1.1657812268648857,0.00010946678938591807,0.00031616069076097805,False,3744.941666666667,True,2940.525,0.34886949044696886,0.25448069144180113,0.4825783483194362
