spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	true	3		2	-1 eV	0.41539717	6	2	-1 eV (corrected -1 eV)	[M + H]+	237.091	Orbitrap (LCMS)	CC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=CC=C3	splash10-000i-0090000000-e5e51bb212a6dead4be4	Oprea1_512723	public_spectra_2506:(CCMSLIB00006687320)	NOQJBXPAMJLUSS	236.949	57	0.948	857336428742593176	857336428738398871	1101	
1	SPECTRUM	true	-1		2		0.84188175	9	2	20 eV	[M + H]+	172.170	Q-ToF (LCMS)	CC1(CC(CC(N1C)(C)C)O)C	splash10-00di-9400000000-0a26d6a287ad48b931a2	1,2,2,6,6-Pentamethyl-4-piperidinol	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000077)	NWHNXXMYEICZAT	202.180	57	0.951	857336428931336864	857336428927142559	1124	
1	SPECTRUM	true	9		2	-1 eV	0.76999277	13	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	224.165	Orbitrap (LCMS)	CCC(C)(C(CO)NC(=O)C(=CC=CC)C)O	splash10-0a6r-8920000000-08ce724cdead84a65b18	CHEBI:182554	public_spectra_2506:(BRUNGS_NIHNP_01517)	PHCDULUANYZTRK	198.185	57	0.952	857336429044583076	857336429040388771	913	
1	SPECTRUM	true	35		2	-1 eV	0.83616185	6	2	75 eV	[M + H]+	241.173	Orbitrap (LCMS)	C1CCC(CC1)NC(=S)NC2CCCCC2	splash10-0a59-9000000000-9720b5fbd8c5e447a1e1	Oprea1_850375	public_spectra_2506:(MSBNK-LCSB-LU118805)	KAJICSGLHKRDLN	182.190	57	0.953	857336429254298284	857336429250103979	1068	
9	SPECTRUM	true	23		2	-1 eV	0.77801514	31	2	36 eV	[M + H]+	149.107	Orbitrap (LCMS)	C1CC(NC1)C2=CN=CC=C2	splash10-00lr-9800000000-a45b0ff544bcd0281db0	Nornicotin	public_spectra_2506:(MSBNK-Eawag-EQ328007)	MYKUKUCHPMASKF	177.102	57	0.956	857336429451430580	857336429447236275	1118	
2	SPECTRUM	true	-1		2		0.67435604	6	2	60 eV	[M + H]+	173.165	Orbitrap (LCMS)	CCCCNC(=O)NCCCC	splash10-0ab9-9000000000-0808bf9094d149147fbe	1,3-Dibutylurea	public_spectra_2506:(MSBNK-LCSB-LU018804)	AQSQFWLMFCKKMG	186.222	58	0.963	857336429543705272	857336429543705271	1229	
1	SPECTRUM	true	36		2	-1 eV	0.3892921	6	2	-1 eV (corrected -1 eV)	[M + H]+	150.037	Orbitrap (LCMS)	C1=CC=C(C=C1)CN=C=S	splash10-03kc-9300000000-ed62be1f89914fe79b19	Tromalyt	public_spectra_2506	MDKCFLQDBWCQCV	187.094	58	0.970	857336429925386952	857336429921192647	1313	
3	SPECTRUM	true	-1		2		0.42251292	6	2	-1 eV (corrected -1 eV)	[M + H]+	132.102	Orbitrap (LCMS)	CC(C)C(CC(=O)O)N	splash10-00di-9000000000-922787dc3fdfc7904bd2	bmse000466	public_spectra_2506:(BRUNGS_MCEBIO_07617)	GLUJNGJDHCTUJY	100.112	58	0.973	857336430026050252	857336430021855947	925	
1	SPECTRUM	true	74		2	-1 eV	0.841246	8	2	48 eV	[M + H]+	199.083	Orbitrap (LCMS)	CC1(C(N2C(=NC(=O)NC2=O)N1)O)C	splash10-014r-9000000000-47d33bb8c2fe7f2f8621	Terbuthylazine-TP CSCD692760 (LM3)	public_spectra_2506:(MSBNK-Eawag-EQ417707)	SDFNUIRNRULFGI	129.041	59	0.987	857336430227376852	857336430223182547	1420	
13	SPECTRUM	true	-1		2		0.58196867	6	2	-1 eV (corrected -1 eV)	[M + H]+	338.190	Orbitrap (LCMS)	CC1=CN(N=C1)C2CC3CCC(C2)N3CC4CCS(=O)(=O)CC4	splash10-0a5i-9373000000-9c28e139f99740c8e622	F6672-0469	public_spectra_2506:(BRUNGS_MCESCAF_01203)	UUPDQVWJAGAYOH	146.981	59	0.988	857336430353205976	857336430349011671	1246	
