id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score
9256,857336450330676860,denovo,"Diethyl 1,3-acetonedicarboxylate",CCOC(=O)CC(=O)CC(=O)OCC,C9H14O5,203.091,8.892,-0.864
9258,857336450515226248,structure_db_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,C12H20O7,294.155,8.894,0.931
9475,857336451148566188,spectral_match,Merck 3535,CCCCN(CCC(=O)OCC)C(=O)C,,216.16,9.049,0.9661962
10052,857336452805316356,denovo,"2,3-dihydro-1H-inden-4-ol",C1CC2=C(C1)C(=CC=C2)O,C9H10O,135.08,9.537,-0.693
10094,857336452981477136,spectral_match,Fyrol CF,C(CCl)OP(=O)(OCCCl)OCCCl,,284.961,9.55,0.92897713
10198,857336453136666396,denovo,N-Hexylmaleamidic acid,CCCCCCNC(=O)C=CC(=O)O,C10H17NO3,200.128,9.617,-1.053
10391,857336453400907568,denovo,N-(tert-butyl)-N'-cyclohexylurea,CC(C)(C)NC(=O)NC1CCCCC1,C11H22N2O,199.181,9.773,-0.429
10503,857336453623205696,denovo,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,9.865,-0.269
10538,857336453673537348,structure_db_match,N-cyclohexyl-3-methylbutanamide,CC(C)CC(=O)NC1CCCCC1,C11H21NO,184.17,9.883,0.81
10601,857336453837115216,structure_db_match,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,9.938,0.802
10741,857336454046830432,spectral_match,Delphene,CCN(CC)C(=O)C1=CC=CC(=C1)C,,192.138,10.047,0.92206067
10835,857336454197825388,spectral_match,Triphenylphosphanoxid,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,,279.093,10.144,0.8078584
10874,857336454353014648,spectral_match,Bayrepel,CCC(C)OC(=O)N1CCCCC1CCO,,230.175,10.172,0.86267984
10946,857336454466260864,structure_db_match,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,10.198,0.84
11050,857336454508203908,spectral_match,Nylon 12,C1CCCCCC(=O)NCCCCC1,,198.185,10.288,0.90075797
11199,857336454680170388,spectral_match,Oprea1_447813,C1CCC(CC1)NC(=O)NC2CCCCC2,,225.196,10.401,0.91294837
11375,857336455032491952,spectral_match,Oprea1_447813,C1CCC(CC1)NC(=O)NC2CCCCC2,,225.196,10.542,0.9318055
11388,857336455095406516,structure_db_match,1-cyclohexyl-3-phenylurea,C1CCC(CC1)NC(=O)NC2=CC=CC=C2,C13H18N2O,219.149,10.549,0.985
11629,857336455460310988,structure_db_match,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,10.719,0.853
