formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C4H7NO4S2	[M + Na]+	C4H7NNaO4S2+		1.000	67.065	67.065	0.000	9	0.628	-3.592	4.288	8.363		219.973	60	1.003	857317372510353425	857316068089686879	857316068085492574	1489	
1	C5H10F2N2	[M + H]+	C5H11F2N2+		1.000	96.102	96.102	0.000	17	0.480	4.327	6.665	12.392		137.090	60	1.004	857317365921101347	857316068160990051	857316068156795746	1470	
1	C3H5FN2O5Si	[M + H]+	C3H6FN2O5Si+		1.000	27.551	26.307	1.244	7	0.270	-3.927	3.927	-8.185		197.001	60	1.007	857317369649837628	857316068240681831	857316068236487526	1526	
1	C5H8O2	[M + H]+	C5H9O2+		1.000	38.310	38.310	0.000	3	0.694	7.199	7.199	0.535		101.060	61	1.009	857317365799466519	857316068320373611	857316068320373610	1675	
1	C15H29N5O2	[M + H]+	C15H30N5O2+		0.774	17.690	17.039	0.652	4	0.990	8.667	8.667	-4.265		312.238	61	1.014	857317361949092922	857316068391676783	857316068391676782	1684	
1	C8H25N7O4	[M + H]+	C8H26N7O4+		0.945	40.888	39.996	0.892	7	0.913	1.481	1.481	9.751		284.207	61	1.020	857317369654031942	857316068471368563	857316068471368562	1678	
1	C3HI	[M + H]+	C3H2I+		0.440	0.391	0.391	0.000	0	0.000			6.279		164.921	61	1.025	857317369775666769	857316068718832511	857316068714638206	1576	
1	C8H10N4O2	[M + H]+	C8H11N4O2+		1.000	99.997	96.600	3.397	30	0.927	0.220	0.960	1.015		195.088	62	1.027	857317371071706913	857316068815301507	857316068815301506	1525	
1	H6O7Si2	[M + H]+	H7O7Si2+		0.712	6.800	6.800	0.000	3	0.960	-0.223	0.223	0.217		174.973	62	1.027	857317369599505970	857316068920159111	857316068915964806	1682	
1	C7H6O2	[M + H]+	C7H7O2+		1.000	111.531	111.531	0.000	12	0.905	2.530	2.530	0.359		123.044	62	1.027	857317369779861083	857316069016628107	857316069012433802	1649	
1	C8H14O4	[M + H]+	C8H15O4+		1.000	37.115	37.115	0.000	6	0.871	1.518	1.518	0.312		175.097	62	1.033	857317370388035212	857316069117291407	857316069117291406	1696	
1	CH5S3	[M + H]+	CH6S3+		0.297	-0.609	-0.609	0.000	0	0.000			9.963		113.964	62	1.034	857317400507332676	857316069222149011	857316069217954706	1647	
1	C9H20O5	[M + H]+	C9H21O5+		0.984	52.877	52.059	0.818	16	0.938	1.665	1.665	0.095		209.138	63	1.044	857317394165545018	857316069335395223	857316069331200918	1807	
1	C3H3IO4S	[M + H]+	C3H4IO4S+		0.328	9.781	9.781	0.000	1	0.728	6.370	6.370	4.283		262.888	63	1.049	857317388964608038	857316069444447131	857316069440252826	1803	
1	C8H11NO4S2	[M + K]+	C8H11KNO4S2+		0.674	180.346	180.346	0.000	35	0.623	-4.159	4.378	11.640		287.979	63	1.050	857317626823592559	857316069553499039	857316069549304734	1606	
1	C6H15N3O3	[M + Na]+	C6H15N3NaO3+		1.000	104.806	102.386	2.420	36	0.790	-5.110	7.843	-3.758		200.100	63	1.051	857317507818600618	857316069662550947	857316069662550946	1818	
1	C4H6N2O3S	[M + K]+	C4H6KN2O3S+		1.000	64.861	64.861	0.000	12	0.279	-7.267	7.267	-3.539		200.972	63	1.054	857317403929884754	857316069868071851	857316069863877546	1665	
1	C8H8O3	[M + H]+	C8H9O3+		1.000	109.106	109.106	0.000	23	0.947	1.033	1.033	0.519		153.055	63	1.055	857317412343658590	857316069977123759	857316069977123758	1902	
1	C8H16O6	[M + H]+	C8H17O6+		1.000	81.956	76.689	5.268	12	0.980	0.429	0.489	0.647		209.102	63	1.056	857317416667986024	857316070115535795	857316070111341490	1822	
1	C6H6O3	[M + H]+	C6H7O3+		1.000	65.564	65.564	0.000	7	0.469	0.644	1.318	0.547		127.039	64	1.071	857317391648962608	857316070304279479	857316070300085174	2084	
1	C3H7O5S2	[M + Na]+	C3H7NaO5S2+		0.980	110.034	108.614	1.419	25	0.429	5.101	5.563	10.283		209.965	65	1.086	857317435206809727	857316070560132031	857316070555937726	1850	
1	C5H6N3O3PS2	[M + Na]+	C5H6N3NaO3PS2+		0.982	91.468	91.468	0.000	20	0.474	2.092	5.753	8.504		273.950	66	1.096	857317437400430729	857316070706932675	857316070702738370	2111	
1	C7H5NS	[M + H]+	C7H6NS+		0.997	56.546	54.005	2.541	7	0.776	2.505	2.505	0.834		136.022	66	1.100	857317431796840564	857316070807595975	857316070803401670	2213	
1	H7N6	[M + Na]+	H7N6Na+		1.000	-3.284	-3.284	0.000	1	0.014	-9.177	9.177	-2.279		114.062	66	1.102	857317546049681589	857316070908259275	857316070908259274	2096	
1	C8H25N7O4	[M + H]+	C8H26N7O4+		0.601	18.188	15.746	2.442	4	0.925	0.021	0.435	9.716		284.207	68	1.135	857317439887653012	857316071101197267	857316071101197266	2268	
1	C8H4O4	[M + H]+	C8H5O4+		0.999	60.936	60.936	0.000	14	0.893	3.927	3.927	0.878		165.018	68	1.137	857317506602252448	857316071193471959	857316071189277654	2248	
1	C5H4O3	[M + H]+	C5H5O3+		0.980	9.074	9.074	0.000	1	0.018	3.205	3.205	0.262		113.023	68	1.139	857317554534758583	857316071285746651	857316071281552346	2239	
1	C5H9NO2Se	[M + H]+	C5H10NO2Se+		0.976	10.610	10.610	0.000	4	0.139	-5.856	5.856	-2.692		189.993	68	1.141	857317595924150539	857316071390604255	857316071386409950	2328	
1	C4H9N3O4S2	[M + K]+	C4H9KN3O4S2+		0.955	25.952	25.952	0.000	3	0.651	-8.312	8.312	-3.857		265.966	69	1.149	857317612026086621	857316071470296035	857316071470296034	2281	
1	C2H4NO6S2	[M + Na]+	C2H4NNaO6S2+		0.519	26.991	26.937	0.054	8	0.437	13.940	13.940	7.715		224.939	70	1.164	857317612571346154	857316071575153639	857316071575153638	2317	
1	C2H8N2O5S2	[M + K]+	C2H8KN2O5S2+		0.922	21.072	21.072	0.000	3	0.504	-8.645	8.645	-4.369		242.950	71	1.177	857317624718051032	857316071671622635	857316071671622634	2347	
1	C5H11NO	[M + H]+	C5H12NO+		1.000	24.897	24.897	0.000	3	0.784	6.465	6.465	0.388		102.091	71	1.183	857317597438294314	857316071759703023	857316071759703022	2379	
1	C9H4O5	[M + H]+	C9H5O5+		0.333	91.259	91.259	0.000	16	0.954	1.315	1.315	0.986		193.013	71	1.184	857317610679715013	857316071843589107	857316071843589106	2348	
1	C2H4N6	[M + H]+	C2H5N6+		0.553	1.221	1.221	0.000	0	0.000			-16.723		113.055	72	1.197	857317610365142210	857316071935863799	857316071935863798	2394	
1	C7H5ClIN3O	[M + Na]+	C7H5ClIN3NaO+		0.457	12.762	12.762	0.000	2	0.812	3.989	3.989	2.235		331.907	72	1.204	857317617981998329	857316072019749883	857316072015555578	2460	
1	C2H7NO3S2	[M + K]+	C2H7KNO3S2+		0.495	34.329	34.329	0.000	6	0.268	2.436	4.814	-4.967		195.949	72	1.208	857317619273843975	857316072099441663	857316072099441662	2381	
1	C4H11NO2	[M + H]+	C4H12NO2+		0.990	2.000	2.000	0.000	0	0.000			0.424		106.086	73	1.211	857317615549302007	857316072191716355	857316072187522050	2377	
1	C5H9NO2	[M + H]+	C5H10NO2+		0.993	8.286	8.286	0.000	1	0.128	0.205	0.205	0.388		116.071	79	1.313	857317618174936325	857316072279796743	857316072275602438	2542	
1	C5H11NO3	[M + H]+	C5H12NO3+		1.000	21.338	20.390	0.949	2	0.791	1.360	1.360	0.450		134.081	81	1.357	857317621144503825	857316072367877131	857316072367877130	2456	
