structurePerIdRank	formulaRank	CSI:FingerIDScore	ModelScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	-58.634	-4.091		1.000	88.185	C6H12N2O	[M + H]+	C6H13N2O+	PETFACAVRPZMJL	InChI=1S/C6H12N2O/c9-6-5-8-3-1-7-2-4-8/h1,9H,2-6H2	2-(3,5-dihydro-2H-pyrazin-4-yl)ethanol	C1CN(CC=N1)CCO	129.102	54	0.908	857317014102872315	857316064742632127	857316064738437822	722	
1	1	-34.007	-1.736		1.000	45.127	CH6N2O4S2	[M + H]+	CH7N2O4S2+	UMKBPFGEEDEDLK	InChI=1S/CH6N2O4S2/c1-8(4,5)3-9(2,6)7/h3H,1H3,(H2,2,6,7)	N-sulfamoylmethanesulfonamide	CS(=O)(=O)NS(=O)(=O)N	174.985	55	0.909	857317059451687631	857316064839101123	857316064834906818	718	
1	1	-71.143	-4.978		1.000	62.600	C2H4N2O4S2	[M + H]+	C2H5N2O4S2+	GIVUTFILCMGYRH	InChI=1S/C2H4N2O4S2/c3-1(2(5)6)9(7)10(4)8/h3H,4H2,(H,5,6)		N=C(C(=O)O)S(=O)S(N)=O	184.969	55	0.912	857317058654769775	857316064927181511	857316064922987206	719	
1	3	-29.477	-7.183		0.333	33.853	CH4N2O3S2	[M + C2H3N + H]+	C3H8N3O3S2+	IVKGVJMBNLUBNE	InChI=1S/CH4N2O3S2/c2-1-7(4)8(3,5)6/h1-2H,(H2,3,5,6)		N=CS(=O)S(N)(=O)=O	198.001	55	0.916	857317062043767579	857316065027844811	857316065023650506	770	
1	1	-57.745	-0.093		0.500	36.117	C5H11NO2	[M + H]+	C5H12NO2+	FOAINFSTWSHMPH	InChI=1S/C5H11NO2/c1-3-6(2)4-5(7)8/h3-4H2,1-2H3,(H,7,8)	N-ethyl-N-methylglycine	CCN(C)CC(=O)O	118.086	56	0.925	857317055190274405	857316065191422675	857316065187228370	846	
1	4	-40.435	-3.455		0.230	17.445	C3H2BrN3O2	[M + Na]+	C3H2BrN3NaO2+	JCKHGMFGMYWLPQ	InChI=1S/C3H2BrN3O2/c4-9-7-2-5-3(1-8)6-7/h1-2H		O=Cc1ncn(OBr)n1	213.923	56	0.928	857317065701200712	857316065359194843	857316065359194842	776	
1	5	-49.607	-4.664		0.000	61.830	C5H13NO5S3	[M + K]+	C5H13KNO5S3+	RSOKHYFJRKQJRB	InChI=1S/C5H13NO5S3/c1-2-12(7)5-13(8,9)3-4-14(6,10)11/h2-5H2,1H3,(H2,6,10,11)		CCS(=O)CS(=O)(=O)CCS(N)(=O)=O	301.958	56	0.929	857317102552355968	857316065510189795	857316065505995490	802	
1	1	-3.468	-1.182		0.997	47.564	C3H5N5O	[M + H]+	C3H6N5O+	MASBWURJQFFLOO	InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)	2-Oxo-4,6-diamino-1-azonia-2,3-dihydro-1,3,5-triazine	C1(=NC(=NC(=O)N1)N)N	128.057	56	0.930	857317065600537406	857316065585687271	857316065585687270	812	
1	1	-46.676	-5.862		0.984	60.610	C4H5F2NO3S	[M + Na]+	C4H5F2NNaO3S+	PLCDGXRKJFNASQ	InChI=1S/C4H5F2NO3S/c5-3(7)2-11(9,10)4(6)1-8/h1,7-8H,2H2		N=C(F)CS(=O)(=O)C(F)=CO	207.985	56	0.932	857317080771335247	857316065669573355	857316065669573354	738	
1	1	-31.450	-6.571		0.290	24.339	C4H4O8S	[M + Na]+	C4H4NaO8S+	QVGIGBWUBCFTOP	InChI=1S/C4H4O8S/c5-4(6)2-1-3-13(8,9)12-11-10-7/h7H,3H2,(H,5,6)		O=C(O)C#CCS(=O)(=O)OOOO	234.952	56	0.937	857317081190765664	857316065766042351	857316065761848046	1006	
1	5	-37.173	-6.237		0.026	3.035	C3H5N2O3P	[M + K]+	C3H5KN2O3P+	OZZDBPAOPFGKPN	InChI=1S/C3H5N2O3P/c1-2-8-9(6,7)3-5-4/h2-3H,1H2,(H,6,7)		C=COP(=O)(O)C=[N+]=[N-]	186.966	56	0.938	857317075301962825	857316065283697367	857316065283697366	727	
