spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	false	33		2	-1 eV	0.5555174	6	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	255	4.254	857316076557987011	857316076557987010	4179	
1	SPECTRUM	false	29		2	-1 eV	0.5445806	8	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	265	4.411	857316077300378851	857316077300378850	4351	
1	SPECTRUM	false	0		2	-1 eV	0.79537076	3	2	20 eV	[M + H]+	253.165	Q-ToF (LCMS)	COCCOCCOCCOCCOCCO	splash10-0a4j-9100000000-257ca8328ca5e1370408	3,6,9,12,15-Pentaoxahexadecanol	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000010)	SLNYBUIEAMRFSZ	253.165	292	4.873	857316078491561247	857316078487366942	4852	
1	SPECTRUM	false	6		2	-1 eV	0.5226779	7	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	302	5.026	857316079087152459	857316079087152458	5003	
1	SPECTRUM	false	30		2	-1 eV	0.93763024	5	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	149.023	Orbitrap (LCMS)	C1=CC=C(C(=C1)C(=O)O)C(=O)O	splash10-0002-3900000000-84befaf1a62e34c8ea31	phthalate	public_spectra_2506:(CCMSLIB00006113214)	XNGIFLGASWRNHJ	149.023	302	5.034	857316079145872719	857316079141678414	5079	
1	SPECTRUM	false	6		2	-1 eV	0.96574455	10	2	75 eV	[M + H]+	212.118	Orbitrap (LCMS)	C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N	splash10-014l-9600000000-85b6b3c98dd97b4fef60	Vulkazit	public_spectra_2506:(MSBNK-LCSB-LU084505)	OWRCNXZUPFZXOS	212.118	323	5.384	857316080165088671	857316080165088670	5569	
1	SPECTRUM	false	0		2	-1 eV	0.8476835	3	2	-1 eV (corrected -1 eV)	[M + Na]+	388.257	Orbitrap (LCMS)	CCCCCCCCCCCCCC(=O)NC(CC1=CN=CN1)C(=O)O	splash10-001r-6902000000-339f8d851afff412b24c	L-Histidine, N-(1-oxotetradecyl)-	public_spectra_2506:(CCMSLIB00012472307)	OFYZXDHFDCJNGQ	388.254	332	5.527	857316080630656451	857316080626462146	5951	
1	SPECTRUM	false	11		2	-1 eV	0.65114766	16	2	90 eV	[M + H]+	167.107	Orbitrap (LCMS)	CCCCCC1=CC=CC(=O)O1	splash10-014i-9000000000-b1099448a6fad605155d	6-Amyl-2-pyrone	public_spectra_2506:(MSBNK-LCSB-LU079506)	MAUFTTLGOUBZNA	167.107	335	5.581	857316080743902667	857316080743902666	5987	
1	SPECTRUM	false	5		2	-1 eV	0.7155388	19	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	171.102	Orbitrap (LCMS)	C(CCCC(=O)O)CCCC(=O)O	splash10-0a59-9100000000-440a4359eead538221a1	Acnederm	public_spectra_2506:(CCMSLIB00010118559)	BDJRBEYXGGNYIS	171.102	335	5.585	857316080806817231	857316080802622926	6017	
1	SPECTRUM	false	0		2	-1 eV	0.9616067	6	2	-1 eV (corrected -1 eV)	[M + H]+	415.254	N/A	C(COCCOCCOCCOCCOCCOCCOCCOCCO)O	splash10-000i-9200000000-584c3589e41a9e4f353b	Epitope ID:159256	public_spectra_2506:(CCMSLIB00003135946)	YZUUTMGDONTGTN	415.254	341	5.680	857316081071058403	857316081071058402	6260	
