spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
3	SPECTRUM	true	0		2	-1 eV	0.35383138	6	2	75 eV (corrected 75 eV)	[M + H]+	193.072	N/A	CN1C2=NC=CN=C2C(=O)N(C1=O)C	splash10-0536-2900000000-0d5a0d558beaf6100060	1,3-Dimethyllumazine	public_spectra_2506	LMXZVISHHDYBFW	140.962	49	0.817	857316062674840179	857316062670645874	346	
1	SPECTRUM	true	30		2	-1 eV	0.43383604	7	2	54 eV	[M + H]+	180.175	Orbitrap (LCMS)	CC12CC3CC(C1)(CC(C3)(C2)N)C	splash10-0006-9100000000-608b372857aacd60eb61	Memantin	public_spectra_2506:(MSBNK-Eawag-EQ335108)	BUGYDGFZZOZRHP	151.035	49	0.818	857316062880361083	857316062880361082	350	
1	SPECTRUM	true	30		2	-1 eV	0.3762354	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	151.039	Orbitrap (LCMS)	COC1=C(C=CC(=C1)C(=O)O)O	splash10-0udi-3900000000-d60d0896e248394e8245	Vanillate	public_spectra_2506:(CCMSLIB00006708541)	WKOLLVMJNQIZCI	110.009	49	0.819	857316063069104771	857316063064910466	391	
1	SPECTRUM	true	1		2	-1 eV	0.33601597	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	153.018	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0udi-3900000000-d4f009e7872b34f47576	gallate	public_spectra_2506:(CCMSLIB00010125096)	LNTHITQWFMADLM	158.012	49	0.822	857316063186545287	857316063182350982	307	
1	SPECTRUM	true	0		2	-1 eV	0.8057358	8	2	-1 eV (corrected -1 eV)	[M + H]+	167.034	Orbitrap (LCMS)	C1OC2=C(O1)C=C(C=C2)C(=O)O	splash10-001i-9400000000-5f627155218c5066b82e	Spectrum_001164	public_spectra_2506:(CCMSLIB00010125979)	VDVJGIYXDVPQLP	232.928	50	0.833	857316063710833303	857316063710833302	444	
1	SPECTRUM	true	2		2	-1 eV	0.67131025	7	2	-1 eV (corrected -1 eV)	[M + H]+	167.034	Orbitrap (LCMS)	C1OC2=C(O1)C=C(C=C2)C(=O)O	splash10-001i-9400000000-5f627155218c5066b82e	Spectrum_001164	public_spectra_2506:(CCMSLIB00010125979)	VDVJGIYXDVPQLP	214.918	50	0.836	857316063811496603	857316063807302298	431	
1	SPECTRUM	true	15		2	-1 eV	0.739267	12	2	97 eV	[M + H]+	322.213	Orbitrap (LCMS)	CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(CO)O	splash10-0ac1-9000000000-55303ca69b088e6ec00a	O-Desaryl Ranolazine	public_spectra_2506:(MSBNK-Eawag-EQ01153408)	LDEJNELBMSFPDJ	113.107	52	0.874	857316064000240291	857316063996045986	589	
1	SPECTRUM	true	0		2	-1 eV	0.709185	16	2	-1 eV (corrected -1 eV)	[M - H4O2 + H]+	257.084	Orbitrap (LCMS)	CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl	splash10-0uni-6900000000-cecb9c9222f4cf434b91	Baypival	public_spectra_2506:(BRUNGS_MCEBIO_02111)	OWEGWHBOCFMBLP	179.017	53	0.891	857316064092514983	857316064088320678	687	
8	SPECTRUM	true	21		2	-1 eV	0.7373351	6	2	24 eV	[M + H]+	132.102	FTICR (LCMS)	C1COCCN1CCO	splash10-0230-9400000000-949e33ef5db71c2f36f5	Oprea1_169224	public_spectra_2506:(MSBNK-Eawag-EQ00429906)	KKFDCBRMNNSAAW	150.113	54	0.894	857316064239315627	857316064235121322	698	
1	SPECTRUM	true	2		2	-1 eV	0.86744905	10	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	257.186	Orbitrap (LCMS)	C(CCCC(=O)NCCO)CCCC(=O)NCCO	splash10-0fir-9800000000-e3ab089056d12972d35d	Adelmidrol	public_spectra_2506:(BRUNGS_MCEBIO_00872)	PAHZPHDAJQIETD	256.962	54	0.897	857316064381921967	857316064377727662	1491	
1	SPECTRUM	true	23		2	-1 eV	0.69581217	7	2	-1 eV (corrected -1 eV)	[M + H]+	131.070	Orbitrap (LCMS)	CC1(CCOC(=O)C1)O	splash10-00xr-9400000000-6b6e730cd317b69f6be0	Prestwick_97	public_spectra_2506:(CCMSLIB00006708633)	JYVXNLLUYHCIIH	172.094	54	0.898	857316064470002355	857316064465808050	682	
1	SPECTRUM	true	0		2	-1 eV	0.60992616	6	2	-1 eV (corrected -1 eV)	[M + H]+	186.112	Orbitrap (LCMS)	C1CN2CCC1C(=O)C2(CO)CO	splash10-000i-2900000000-53af5a63544227a3b0d1	prima-1	public_spectra_2506:(BRUNGS_MCEBIO_04622)	RFBVBRVVOPAAFS	166.107	54	0.907	857316064650357435	857316064650357434	750	
1	SPECTRUM	true	2		2	-1 eV	0.81345224	7	2	48 eV	[M + H]+	199.083	Orbitrap (LCMS)	CC1(C(N2C(=NC(=O)NC2=O)N1)O)C	splash10-014r-9000000000-47d33bb8c2fe7f2f8621	Terbuthylazine-TP CSCD692760 (LM3)	public_spectra_2506:(MSBNK-Eawag-EQ417707)	SDFNUIRNRULFGI	129.102	54	0.908	857316064742632127	857316064738437822	722	
1	SPECTRUM	true	-1		2		0.49522394	6	2	-1 eV (corrected -1 eV)	[M + H]+	245.095	Orbitrap (LCMS)	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2	splash10-004i-7890000000-baabd9dc2121df1c987c	Appearex	public_spectra_2506:(BRUNGS_MCEBIO_06054)	YBJHBAHKTGYVGT	174.985	55	0.909	857316064839101123	857316064834906818	718	
1	SPECTRUM	true	1		2	-1 eV	0.5168637	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	153.018	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0udi-3900000000-d4f009e7872b34f47576	gallate	public_spectra_2506:(CCMSLIB00010125096)	LNTHITQWFMADLM	184.969	55	0.912	857316064927181511	857316064922987206	719	
1	SPECTRUM	true	-1		2		0.5695554	6	2	-1 eV (corrected -1 eV)	[M + H]+	301.239	Orbitrap (LCMS)	CC(C)C1=NC(=C(C2=C1CCCC2)C#N)NCCCN(C)C	splash10-0a70-9260000000-0b75c4f717d9d953120e	3-{[3-(dimethylamino)propyl]amino}-1-isopropyl-5,6,7,8-tetrahydro-4-isoquinolinecarbonitrile	public_spectra_2506:(BRUNGS_MCESCAF_00610)	WTLXQYKLIMSRJP	118.086	56	0.925	857316065191422675	857316065187228370	846	
1	SPECTRUM	true	0		2	-1 eV	0.35464302	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	159.080	Orbitrap (LCMS)	CC(=O)C=CC1=CC=C(C=C1)OC	splash10-0a4l-2900000000-c9023c3fe86f7bbbe7dc	Anisalacetone	public_spectra_2506:(CCMSLIB00006702075)	WRRZKDVBPZBNJN	213.923	56	0.928	857316065359194843	857316065359194842	776	
1	SPECTRUM	true	0		2	-1 eV	0.74237967	8	2	-1 eV (corrected -1 eV)	[M + Na]+	288.040	Orbitrap (LCMS)	CCOC(=O)COC1=C2C(=C(C=C1)Cl)C=CC=N2	splash10-03di-9300000000-2211404907b26683f03e	ethyl 2-(5-chloro-8-quinolyloxy)acetate	public_spectra_2506:(BRUNGS_MCEBIO_06706)	JEMXUSHXYOXNFL	301.958	56	0.929	857316065510189795	857316065505995490	802	
1	SPECTRUM	true	5		2	-1 eV	0.96710813	6	2	51 eV	[M + H]+	212.151	Orbitrap (LCMS)	CC(C)NC1=NC(=NC(=O)N1)NC(C)C	splash10-00kr-9000000000-b0b156c7eb47bf931790	Hydroxypropazine	public_spectra_2506:(MSBNK-Eawag-EQ014207)	RUOTUMSRCIMLJK	128.057	56	0.930	857316065585687271	857316065585687270	812	
1	SPECTRUM	true	-1		2		0.39898738	6	2	-1 eV (corrected -1 eV)	[M + H]+	215.128	Orbitrap (LCMS)	CCCCC(C1CC(=CC(=O)O1)OC)O	splash10-052b-7900000000-07d28ddd9c34f9712214	Pestalotin	public_spectra_2506:(BRUNGS_NIHNP_00162)	YFIMUDXPJZVJJO	234.952	56	0.937	857316065766042351	857316065761848046	1006	
1	SPECTRUM	true	1		2	-1 eV	0.56339276	7	2	-1 eV (corrected -1 eV)	[M + H]+	200.107	Orbitrap (LCMS)	CC1=CC(=O)N2CCCC3=C2C1=CC=C3	splash10-0udi-1590000000-290cd4bc4213c93559a4	Oprea1_162401	public_spectra_2506:(CCMSLIB00006697667)	INLMMGKPTMPKDG	170.089	56	0.937	857316065845734131	857316065841539826	733	
1	SPECTRUM	true	0		2	-1 eV	0.46650574	11	2	-1 eV (corrected -1 eV)	[M + H]+	183.021	Orbitrap (LCMS)	C1=CC(=CC=C1C=CC(=O)O)Cl	splash10-0309-2900000000-bc5115a34823cab03874	ACMC-20aixa	public_spectra_2506:(CCMSLIB00006707285)	GXLIFJYFGMHYDY	186.966	56	0.938	857316065283697367	857316065283697366	727	
1	SPECTRUM	true	-1		2		0.9118493	39	2	36 eV	[M + H]+	149.107	Orbitrap (LCMS)	C1CC(NC1)C2=CN=CC=C2	splash10-00lr-9800000000-a45b0ff544bcd0281db0	Nornicotin	public_spectra_2506:(MSBNK-Eawag-EQ328007)	MYKUKUCHPMASKF	163.123	57	0.945	857316066000923387	857316065996729082	859	
1	SPECTRUM	true	2		2	-1 eV	0.41809338	6	2	-1 eV (corrected -1 eV)	[M + H]+	237.091	Orbitrap (LCMS)	CC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=CC=C3	splash10-000i-0090000000-e5e51bb212a6dead4be4	Oprea1_512723	public_spectra_2506:(CCMSLIB00010104413)	NOQJBXPAMJLUSS	236.939	57	0.953	857316066084809471	857316066080615166	987	
1	SPECTRUM	true	3		2	-1 eV	0.85262215	12	2	-1 eV (corrected -1 eV)	[M + H]+	242.175	Orbitrap (LCMS)	CCC(C)(C(CO)NC(=O)C(=CC=CC)C)O	splash10-003r-9000000000-279c12ad3ca07a8dd052	CHEBI:182554	public_spectra_2506:(BRUNGS_NIHNP_01518)	PHCDULUANYZTRK	116.107	58	0.960	857316066286136071	857316066281941766	1001	
4	SPECTRUM	true	9		2	-1 eV	0.83564615	11	2	28 eV	[M + H]+	202.180	Orbitrap (LCMS)	CC1(CC(CC(N1CCO)(C)C)O)C	splash10-0udi-3900000000-4c9d5f77149f799c9dd2	4-Hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol	public_spectra_2506:(MSBNK-UFZ-WANA4055213166PH)	STEYNUVPFMIUOY	158.154	58	0.960	857316066370022155	857316066365827850	1067	
1	SPECTRUM	true	71		2	-1 eV	0.8389234	6	2	75 eV	[M + H]+	241.173	Orbitrap (LCMS)	C1CCC(CC1)NC(=S)NC2CCCCC2	splash10-0a59-9000000000-9720b5fbd8c5e447a1e1	Oprea1_850375	public_spectra_2506:(MSBNK-LCSB-LU118805)	KAJICSGLHKRDLN	182.190	58	0.961	857316066466491151	857316066466491150	1109	
1	SPECTRUM	true	6		2	-1 eV	0.56641346	6	2	-1 eV (corrected -1 eV)	[M + H]+	130.050	Orbitrap (LCMS)	C1CC(=O)NC1C(=O)O	splash10-001i-9100000000-36a5423cc473a4cf0e6d	Pidolate	public_spectra_2506:(CCMSLIB00010114112)	ODHCTXKNWHHXJC	130.159	58	0.961	857316066638457623	857316066638457622	1145	
1	SPECTRUM	true	-1		2		0.44672507	6	2	-1 eV (corrected -1 eV)	[M + H]+	297.133	Orbitrap (LCMS)	CC=C(C)C(=O)OC1C=CC(=O)OC1C=CC(C(C)O)O	splash10-0a59-9110000000-4be2f723c9496db972c6	Phomopsolid B	public_spectra_2506	JTHHOHSDOJJNFN	231.120	58	0.970	857316066718149403	857316066713955098	1221	
