formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C5H7Br	[M + H]+	C5H8Br+		0.813	6.070	3.579	2.491	2	0.006	5.664	5.664	1.097		146.981	59	0.988	857337269971824248	857336430353205976	857336430349011671	1246	
1	C2H7OP	[M + K]+	C2H7KOP+		0.377	2.729	2.729	0.000	1	0.312	-6.554	6.554	-5.382		116.986	60	0.993	857337273427930754	857336430453869276	857336430453869275	1433	
1	C2H10N4	[M + K]+	C2H10KN4+		0.664	9.962	9.962	0.000	3	0.085	-3.717	3.717	10.504		129.055	60	1.002	857337328750800547	857336430558726880	857336430554532575	1366	
1	C9H20O5	[M + H]+	C9H21O5+		1.000	55.115	55.115	0.000	9	0.957	0.902	0.902	-2.822		209.138	61	1.020	857337329161842351	857336430651001572	857336430646807267	1670	
1	C7H16O4	[M + H]+	C7H17O4+		1.000	83.222	80.178	3.044	11	0.840	0.418	0.679	-3.001		165.112	62	1.035	857337373885707740	857336430743276264	857336430739081959	1656	
1	C2H2IN2O2	[M + H]+	C2H3IN2O2+		0.193	11.878	11.878	0.000	3	0.210	-2.980	2.980	-2.883		213.923	63	1.047	857337379862590976	857336430898465516	857336430894271211	1768	
1	C7H21N4O3	[M + H]+	C7H22N4O3+		0.702	4.500	2.871	1.629	1	0.330	6.329	6.329	6.652		210.170	66	1.108	857337373982176740	857336431074626288	857336431070431983	1898	
1	C2H6N2O6S2	[M + H]+	C2H7N2O6S2+		0.332	11.015	10.025	0.990	3	0.294	-9.926	9.926	3.725		218.975	70	1.162	857337378302309867	857336431200455412	857336431196261107	2048	
1	C4H4BrNO2	[M + H]+	C4H5BrNO2+		0.148	0.391	0.391	0.000	0	0.000			-8.974		177.948	70	1.173	857337380001003029	857336431338867448	857336431338867447	1746	
1	C3H6AsNO4	[M + H]+	C3H7AsNO4+		0.127	3.635	3.635	0.000	1	0.015	2.404	2.404	1.553		195.959	71	1.190	857337387949209326	857336431422753532	857336431418559227	2090	
1	C5H11NO3	[M + H]+	C5H12NO3+		0.499	18.823	18.823	0.000	1	0.595	2.474	2.474	0.375		134.081	81	1.346	857337379833230841	857336431527611136	857336431527611135	2191	
1	C2H2IN2O2	[M + H]+	C2H3IN2O2+		0.191	11.761	11.761	0.000	3	0.194	-3.537	3.537	-3.023		213.923	81	1.348	857337397126346551	857336431653440260	857336431649245955	2190	
