id,sirius_id,molecular_formula,precursor_mz,rt,score
12700,857336457683292252,C2H4O2,98.984,11.434,1.0
12730,857336457742012512,C16H24O4,281.175,11.46,1.0
12753,857336457981087856,C15H15NO,226.123,11.476,0.998
12815,857336458291466372,C16H22Cl3NO,372.066,11.498,0.878
12808,857336458345992328,C13H20N2O,221.165,11.5,0.974
12823,857336458404712588,C15H20N2O3,277.155,11.504,0.997
12809,857336458517958804,C9H18Cl3O4P,327.008,11.506,0.906
12827,857336458643787932,C13H26O4,247.19,11.51,0.924
12840,857336458698313888,C16H29NO3,284.222,11.514,1.0
12947,857336458941583536,C16H17NO,240.138,11.578,0.988
12987,857336459197436096,C17H26O5,311.185,11.647,1.0
13066,857336459256156356,C13H26N2O,227.212,11.649,1.0
13109,857336459436511440,C16H35N,242.284,11.677,1.0
13136,857336459499426004,C2H4O2,98.984,11.71,1.0
13192,857336459553951960,C18H36N2O3,329.28,11.742,1.0
13198,857336459612672220,C16H29NO3,284.222,11.75,1.0
13311,857336459721724132,C18H39NO4,334.295,11.802,0.979
13307,857336459776250088,C16H32O4,306.264,11.803,0.98
13368,857336459956605172,C14H22O3,239.164,11.838,1.0
13383,857336460011131128,C15H20N2O3,277.155,11.857,0.999
13420,857336460061462780,C15H24O4,286.201,11.863,0.998
13413,857336460170514692,C9H12O2,153.091,11.871,1.0
13419,857336460225040648,C15H24O4,269.175,11.89,1.0
13485,857336460283760908,C10H20N4O2,251.146,11.951,1.0
13567,857336460736745768,C4H9O3P,174.992,12.029,0.999
13564,857336460799660332,C6H13Cl2O4P,251.0,12.03,0.873
13561,857336460980015416,C2H4O2,98.984,12.031,1.0
13674,857336461353308496,C12H25NO,200.201,12.104,1.0
13649,857336461407834452,C16H31NO3,286.238,12.111,1.0
13778,857336461462360408,C17H20N2O,269.165,12.224,0.96
13937,857336461634326884,C12H23NO,198.185,12.339,1.0
13942,857336461693047144,C17H31NO4,314.233,12.342,1.0
13949,857336461911150956,C12H20O2,197.154,12.35,1.0
13995,857336461965676912,C16H24O4,281.175,12.385,1.0
14057,857336462024397172,C16H31NO3,286.238,12.409,1.0
14062,857336462078923128,C18H38N2O3,331.296,12.421,0.981
14132,857336462129254780,C12H23NO,198.185,12.49,1.0
14149,857336462179586432,C16H22N2O2,275.175,12.502,0.98
14214,857336462234112388,C13H25NO,212.201,12.527,1.0
14235,857336462288638344,C16H16OS,257.099,12.546,0.999
14271,857336462397690256,C17H24O6,342.191,12.567,1.0
14279,857336462456410516,C16H24O4,281.175,12.574,1.0
14310,857336462523519384,C13H23NO,210.185,12.583,1.0
14316,857336462578045340,C15H33N,228.269,12.598,1.0
14414,857336462640959904,C12H23NO,198.185,12.689,1.0
14550,857336462758400424,C14H26O2,227.201,12.756,1.0
14557,857336462880035248,C16H22N2O2,275.175,12.759,0.991
14559,857336462934561204,C10H15NO2,182.118,12.761,0.995
14592,857336462989087160,C16H35N,242.284,12.785,1.0
14675,857336463039418812,C13H23NO,210.185,12.854,1.0
14761,857336463093944768,C12H14N2O2,219.113,12.906,0.998
14767,857336463144276420,C13H27NO2,230.212,12.912,1.0
14787,857336463194608072,C18H18O5,315.123,12.934,0.942
14782,857336463244939724,C9H17NS,172.115,12.937,0.838
14825,857336463299465680,C9H8O2,149.06,12.945,1.0
14903,857336463408517592,C39H48O9,661.337,12.995,0.952
14965,857336463567901156,C9H17NS,172.115,13.073,0.839
15010,857336463618232808,C9H8O2,149.06,13.105,1.0
15029,857336463718896112,C18H18O5,315.123,13.117,0.945
15109,857336463823753720,C2H4O2,98.984,13.173,1.0
15127,857336463878279676,C15H22O2,235.166,13.186,1.0
15207,857336463941194240,C9H17NS,172.115,13.255,0.995
15252,857336464104772108,C18H18O5,315.123,13.288,0.945
15251,857336464163492368,C9H8O2,149.06,13.289,1.0
15283,857336464327070236,C15H20N2O3,277.155,13.309,0.999
15331,857336464385790496,C11H16O3,197.117,13.344,1.0
15329,857336464436122148,C15H24O3,253.18,13.345,1.0
15430,857336464536785452,C14H27NO,226.217,13.43,1.0
15455,857336464595505712,C8H14O2,143.107,13.509,1.0
15683,857336464696169016,C14H27NO,226.217,13.701,1.0
15721,857336464796832320,C12H27O4P,267.172,13.73,0.998
15728,857336464847163972,C2H4O2,98.984,13.734,1.0
15817,857336464897495624,C19H27NO3,318.206,13.804,1.0
15880,857336465002353232,C16H24O4,281.175,13.848,1.0
15955,857336465203679840,C15H24O3,253.18,13.901,1.0
16061,857336465258205796,C17H37N,256.3,13.96,1.0
16046,857336465367257708,C14H22O,207.174,13.979,1.0
