id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score,cluster_label,cluster_membership_probability,cluster_outlier_score
3481,857336434211965800,denovo,"2,5,8,11-tetraoxatridecan-13-ol",COCCOCCOCCOCCO,C9H20O5,209.138,4.438,-0.119,4,1.0,0.0
3534,857336434430069616,structure_db_match,Hexagol,C(COCCOCCOCCOCCOCCO)O,C12H26O7,283.175,4.507,0.848,4,1.0,0.0
3619,857336434769808252,denovo,3-[3-(2-Hydroxyethoxy)propoxy]propan-1-ol,C(CO)COCCCOCCO,C8H18O4,179.128,4.639,-2.652,4,1.0,0.0
3696,857336435528977300,structure_db_match,Hexagol,C(COCCOCCOCCOCCOCCO)O,C12H26O7,283.175,4.692,0.841,4,1.0,0.0
3697,857336435432508304,structure_db_match,Hexagol,C(COCCOCCOCCOCCOCCO)O,C12H26O7,300.202,4.68,0.85,4,1.0,0.0
3812,857336435981962148,structure_db_match,Epitope ID:161055,C(COCCOCCOCCOCCOCCOCCO)O,C14H30O8,327.201,4.853,0.986,4,1.0,0.0
3828,857336436195871660,structure_db_match,"2,5,8,11,14,17-Hexaoxanonadecane",CCOCCOCCOCCOCCOCCOC,C13H28O6,298.222,4.875,0.93,4,1.0,0.0
4138,857336437340916692,structure_db_match,PED-diol (n=8),C(COCCOCCOCCOCCOCCOCCOCCO)O,C16H34O9,371.228,5.163,0.994,4,1.0,0.0
4337,857336438553070592,structure_db_match,Glyme 5,COCCOCCOCCOCCOC,C10H22O5,223.154,5.356,0.808,4,1.0,0.0
4480,857336439073164308,denovo,2-[2-[2-[2-[2-[2-[2-[2-[2-(2-Aminooxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCON)O,C20H43NO11,474.291,5.551,-2.381,4,1.0,0.1119852177688665
4645,857336439559703592,spectral_match,Polyoxyethylene (10),C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,,459.28,5.691,0.97280025,4,1.0,0.0
4646,857336439471623204,structure_db_match,Polyoxyethylene (10),C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,C20H42O11,476.307,5.689,0.917,4,1.0,0.0
4892,857336440100768832,spectral_match,Undecaethylene glycol,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,,503.306,5.911,0.9312041,4,1.0,0.0
5176,857336440931241056,denovo,,CCCCOCCOCCOCCO,C10H22O4,207.159,6.114,-0.965,4,1.0,0.0
5196,857336440830577756,structure_db_match,"3,6,9,12,15,18,21,24,27,30,33-undecaoxapentatriacontane-1,35-diol",C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,C24H50O13,547.333,6.113,0.863,4,1.0,0.24644848024798768
5492,857336441774296188,structure_db_match,,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,C26H54O14,591.359,6.304,0.901,4,1.0,0.005634249342021403
5775,857336441975622792,denovo,,CCCCOCCOCCOCCO,C10H22O4,207.159,6.46,-0.751,4,1.0,0.0
6590,857336444383153424,spectral_match,Tributilamina,CCCCN(CCCC)CCCC,,186.222,7.037,0.9910265,4,1.0,0.009506400332105583
7455,857336447113645472,denovo,"3,6,9,12-Tetraoxahexadecan-1-OL",CCCCOCCOCCOCCOCCO,C12H26O5,268.212,7.601,-0.162,4,1.0,0.0
7460,857336447319166380,structure_db_match,"3,6,9,12-Tetraoxahexadecan-1-OL",CCCCOCCOCCOCCOCCO,C12H26O5,251.185,7.606,0.89,4,1.0,0.0
9475,857336451148566188,spectral_match,Merck 3535,CCCCN(CCC(=O)OCC)C(=O)C,,216.16,9.049,0.9661962,4,1.0,0.03725188031324154
22720,857336475412616540,structure_db_match,,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,C22H42O6,403.306,18.886,0.882,4,1.0,0.0
22726,857336475370673496,structure_db_match,,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,C22H42O6,420.332,18.885,0.85,4,1.0,0.0
24899,857336477966947876,denovo,Tetrabutylthiuram disulfide,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,C18H36N2S4,409.183,20.854,-0.694,4,0.9983197162953217,0.4825819690195758
583,857336426855156312,spectral_match,Dabco EG,C1CN2CCN1CC2,,113.107,0.864,0.93544966,5,1.0,0.0
11050,857336454508203908,spectral_match,Nylon 12,C1CCCCCC(=O)NCCCCC1,,198.185,10.288,0.90075797,5,1.0,0.0
12200,857336456374669320,spectral_match,|A-Decalactone,CCCCC1CCCCC(=O)O1,,171.138,11.13,0.894141,5,1.0,0.0
12469,857336457263861824,spectral_match,|A-Decalactone,CCCCC1CCCCC(=O)O1,,171.138,11.288,0.8472764,5,1.0,0.0
13937,857336461634326884,spectral_match,N-Octylpyrrolidone,CCCCCCCCN1CCCC1=O,,198.185,12.339,0.9821046,5,1.0,0.0
14132,857336462129254780,spectral_match,N-Octylpyrrolidone,CCCCCCCCN1CCCC1=O,,198.185,12.49,0.9812781,5,1.0,0.0
