id,mz,rt,area,height,detected_rate,has_ms2,detected:fraction:POC,mean_area:fraction:POC,detected:fraction:WSOC,mean_area:fraction:WSOC,log2FC:fraction:POC_vs_WSOC,welch_p:fraction:POC_vs_WSOC,detected:day_type:weekday,mean_area:day_type:weekday,detected:day_type:weekend,mean_area:day_type:weekend,log2FC:day_type:weekday_vs_weekend,welch_p:day_type:weekday_vs_weekend
7960,157.04967,7.9022,116700.0,404200.0,0.05555555555555555,False,True,9988.333333333334,False,0.0,inf,0.15027778783365306,True,1850.4166666666667,True,11281.666666666666,-2.608058145567332,0.3565453160304197
7963,311.18541,7.9348,18660.0,91560.0,0.027777777777777776,False,False,867.2722222222222,True,3056.2,-1.8171821500495633,0.05852058746204844,False,707.6041666666666,True,4470.0,-2.6592603830561106,0.026177770336235657
7965,203.09143,7.9298,177700.0,540700.0,0.08333333333333333,True,True,17158.727777777778,False,0.0,inf,0.11382949142099065,True,4352.379166666667,True,17033.333333333332,-1.9684846398526386,0.4168046238100074
7967,320.24328,7.9337,33900.0,124000.0,0.25,False,False,281.1666666666667,True,13886.994444444445,-5.626165013290013,0.0004393233646142847,True,10123.108333333334,False,1006.025,3.330914280186806,0.002561685313079826
7974,346.22248,7.9359,19560.0,193700.0,0.027777777777777776,False,False,2102.527777777778,True,8739.722222222223,-2.0554625658209957,4.57690612499763e-05,True,6152.354166666667,False,3958.6666666666665,0.6361239633274315,0.11911095652445214
7975,217.07792,7.952,4560.0,63320.0,0.08333333333333333,False,False,74.89444444444445,True,1601.3555555555556,-4.418291154968086,0.00020382410964140586,False,427.37916666666666,True,1659.6166666666668,-1.9572615624599694,0.03853692465361852
7976,322.18609,7.9115,1120000.0,4218000.0,0.05555555555555555,True,True,108450.0,False,0.0,inf,0.12582847093557492,True,29820.833333333332,True,103033.33333333333,-1.7887186745414878,0.45959802104855596
7977,299.17558,7.9532,13590.0,64140.0,0.05555555555555555,False,True,1537.3500000000001,False,112.85555555555555,3.7678963077172583,0.10492446112299442,False,136.91250000000002,True,2201.4833333333336,-4.007149847565846,0.11747874083776141
7980,354.28507,7.9119,52100.0,245500.0,0.027777777777777776,False,False,5414.166666666667,True,12111.833333333334,-1.16160605369208,0.02580392982649635,False,5571.708333333333,True,15145.583333333334,-1.4427055015975974,0.02899858154031186
7981,428.26457,7.9469,11050.0,64390.0,0.027777777777777776,False,False,559.088888888889,True,2071.1944444444443,-1.8893134218064722,0.03379510901754824,False,486.10833333333335,True,2973.2083333333335,-2.612670785224969,0.012969451360445625
7988,367.21168,7.9478,20280.0,57780.0,0.027777777777777776,False,False,325.9166666666667,True,1758.8555555555556,-2.4320619722808985,0.21779188346286404,False,143.59583333333333,True,2839.9666666666667,-4.305788203852453,0.12312292405497516
7991,356.2432,7.9515,73110.0,158800.0,0.1388888888888889,False,False,3212.688888888889,True,17244.444444444445,-2.424278466320716,0.01596951509215175,True,3997.7666666666664,True,22690.166666666668,-2.504801030686611,0.027765082310124544
7992,657.92372,7.9816,11340.0,110500.0,0.027777777777777776,False,True,1564.7222222222222,False,1333.7222222222222,0.23044834104277814,0.839955675915079,False,0.0,True,4347.666666666667,-inf,0.008429183733820454
7993,299.11018,7.9351,46740.0,146400.0,0.027777777777777776,False,True,3017.8333333333335,False,0.0,inf,0.2589332157588487,False,152.70833333333334,True,4221.333333333333,-4.788848057116007,0.3168676740854883
7994,202.14383,7.9422,23000.0,86840.0,0.3611111111111111,False,True,14088.222222222223,False,1525.844444444444,3.206809774906028,3.2152393898952382e-06,True,10533.65,True,2353.7999999999997,2.1619417828288796,0.0002728111860945753
8003,300.18071,7.9656,26450.0,182300.0,0.5,False,False,5015.444444444444,True,15323.444444444445,-1.6112911702538502,8.659782809840735e-08,True,8352.291666666666,True,13803.75,-0.7248162528304463,0.05476326269801034
8008,288.21704,7.971,65490.0,382200.0,0.5,False,False,12091.222222222223,True,44135.555555555555,-1.8679812732151566,4.833374393753696e-10,True,23647.166666666668,True,37045.833333333336,-0.6476439525201801,0.07398238496238553
8009,288.0292,7.9787,25200.0,163400.0,0.5,False,True,19670.0,False,650.4333333333333,4.918451953012631,8.431293642155395e-16,True,10666.416666666666,True,9147.816666666668,0.22157623303545154,0.6559819020158588
8011,189.11223,7.9802,86980.0,458100.0,0.75,True,True,66954.44444444444,True,4069.1666666666665,4.040374547752286,5.509533406409752e-14,True,36904.875,True,32725.666666666668,0.1733888215064655,0.7263951474625692
8012,312.21701,7.9734,36240.0,193100.0,0.16666666666666666,False,False,3843.1666666666665,True,11431.444444444445,-1.572640261619244,0.007966555069672322,True,4350.791666666667,True,14210.333333333334,-1.7075905548046661,0.015229544403435769
8014,294.15478,7.9842,38620.0,138100.0,0.027777777777777776,False,True,2488.6277777777777,False,0.0,inf,0.2594608545944691,False,170.72083333333333,True,3391.5,-4.312212464231483,0.33709539617407147
8015,376.0453,7.9304,33350.0,138900.0,0.027777777777777776,False,True,2329.8333333333335,False,0.0,inf,0.22318494255130317,False,234.875,True,3025.0,-3.686970075629264,0.33571360174967524
8016,360.18071,7.9816,19030.0,143400.0,0.16666666666666666,False,True,2697.777777777778,True,3027.222222222222,-0.16622306932084516,0.8819414851760905,False,0.0,True,8587.5,-inf,0.00708334514098338
8017,153.06596,7.9834,11460.0,110500.0,0.1388888888888889,False,False,1068.3944444444446,True,4275.161111111111,-2.0005344103273903,0.0015350067800562121,False,1357.0541666666668,True,5301.224999999999,-1.965847467326276,0.006202612016491289
8019,172.20596,7.962,34920.0,91740.0,0.19444444444444445,False,True,12675.277777777777,False,0.0,inf,0.00017142187580384508,True,3775.5,True,11461.916666666666,-1.6021086900244408,0.10304925492857848
8020,223.11187,8.0001,5032.0,51920.0,0.08333333333333333,False,False,393.4166666666667,True,3394.5555555555557,-3.109092714555682,2.141407282736973e-12,True,2144.633333333333,False,1392.6916666666666,0.6228551225879403,0.17455762598419203
8025,243.15926,7.9755,37930.0,215500.0,0.2777777777777778,False,False,4055.972222222222,True,15277.055555555555,-1.9132468333111303,0.0005594452650213013,True,5700.645833333333,True,17598.25,-1.6262346935552752,0.006048391964548969
