id,sirius_id,molecular_formula,precursor_mz,rt,score
15066,857316092383097143,C16H33NO2,272.259,11.816,1.0
15098,857316092420845883,C15H20N2O3,277.155,11.852,0.954
15209,857316092479566143,C15H22OS,251.147,11.95,1.0
15364,857316092571840839,C16H28O2,253.216,12.103,1.0
15630,857316092655726927,C17H26O5,311.185,12.262,1.0
15670,857316092748001623,C13H10O,183.081,12.319,1.0
15705,857316092789944667,C12H22O,183.174,12.355,1.0
15868,857316092878025059,C13H10N2S,227.064,12.464,0.93
15881,857316092919968103,C13H20O2,209.154,12.499,1.0
15937,857316093008048495,C15H33N,228.269,12.609,1.0
16086,857316093054185843,C15H29NO2,256.227,12.66,1.0
16094,857316093096128887,C14H29NO3,260.222,12.666,1.0
16328,857316093180014975,C13H25NO5,276.179,12.752,0.998
16324,857316093221958019,C10H15NO2,182.118,12.754,0.914
16398,857316093263901063,C16H35N,242.284,12.798,1.0
16545,857316093448450455,C12H14N2O2,219.113,12.904,0.998
16623,857316093494587803,C13H27NO2,230.212,12.923,1.0
17387,857316093888852411,C15H32O4,277.237,13.53,0.999
17554,857316093993710019,C18H32O2,281.239,13.679,1.0
17582,857316094044041671,C6H18O3Si3,223.064,13.694,0.999
17586,857316094094373323,C8H26O5Si4,297.082,13.694,1.0
17632,857316094232785367,C13H24O,197.19,13.709,1.0
17751,857316094312477151,C19H27NO3,318.206,13.819,1.0
17786,857316094400557543,C16H24O4,281.175,13.847,1.0
17774,857316094358614499,C6H13N,100.112,13.867,1.0
17832,857316094442500587,C17H10O,231.081,13.88,0.997
17969,857316094530580979,C17H37N,256.3,13.985,1.0
18198,857316094698353155,C19H27NO3,318.206,14.15,1.0
18056,857316094744490503,C23H47NO4,402.358,14.158,1.0
18220,857316094782239243,C18H39N,270.316,14.167,1.0
18323,857316094836765199,C18H39NO,286.311,14.267,1.0
18190,857316094962594323,C19H41N,284.331,14.268,1.0
18343,857316095059063319,C16H34O4,308.28,14.292,1.0
18347,857316095109394971,C16H34O4,291.253,14.294,1.0
18368,857316095247807015,C13H9NS,212.053,14.306,0.992
18447,857316095298138667,C18H38O5,335.279,14.348,1.0
18450,857316095340081711,C18H38O5,352.306,14.35,1.0
18388,857316095390413363,C23H45NO2,368.352,14.351,1.0
18901,857316095612711495,C16H34O4,308.28,14.684,1.0
18900,857316095658848843,C16H34O4,291.253,14.684,1.0
18944,857316095696597583,C18H38O5,335.279,14.726,1.0
19073,857316095826621019,C22H42O8,452.322,14.833,1.0
19114,857316095927284323,C23H48N2O,369.384,14.861,1.0
19174,857316095977615975,C16H34O4,308.28,14.895,1.0
19173,857316096027947627,C16H34O4,291.253,14.896,1.0
19175,857316096128610931,C23H48N2O2,385.379,14.896,1.0
19226,857316096225079931,C18H38O5,352.306,14.93,1.0
19232,857316096321548931,C18H38O5,335.279,14.932,1.0
19432,857316096371880583,C16H34O4,291.253,15.051,1.0
19434,857316096468349583,C16H34O4,308.28,15.052,1.0
19581,857316096569012887,C15H31NO2,258.243,15.133,1.0
19925,857316096732590759,C25H51NO4,430.389,15.388,1.0
19963,857316096774533803,C24H45NO5,428.337,15.403,0.999
20028,857316096816476847,C20H43N,298.347,15.44,1.0
20085,857316096904557239,C26H45NO6,468.332,15.498,1.0
20142,857316096996831935,C21H45N,312.363,15.528,1.0
20337,857316097080718023,C19H34O6,341.232,15.685,0.998
20495,857316097122661067,C17H25NO3,292.191,15.766,0.971
20616,857316097202352851,C18H32O7,361.222,15.841,0.993
20620,857316097244295895,C20H39NO7,406.28,15.842,0.969
20767,857316097286238939,C10H32O6Si5,371.101,15.935,1.0
20773,857316097328181983,C6H18O3Si3,223.064,15.94,1.0
20877,857316097550480115,C17H36O4,305.269,15.999,1.0
20890,857316097588228855,C20H39N5,350.326,16.006,0.977
21202,857316097625977595,C15H32O3,261.243,16.184,1.0
21236,857316097663726335,C17H36O4,305.269,16.201,1.0
21379,857316097747612423,C20H39NO,310.31,16.331,1.0
21711,857316097902801683,C31H59NO9,590.426,16.506,1.0
21790,857316098112516899,C22H21ClO3,369.125,16.555,0.929
22112,857316098167042855,C20H37NO2,324.29,16.782,1.0
22151,857316098246734639,C20H28O5,349.201,16.804,0.998
22264,857316098364175163,C16H30O4,287.222,16.869,0.995
22286,857316098498392903,C12H22O2,199.169,16.879,1.0
22442,857316098590667599,C23H45N5O,408.368,16.955,0.863
22416,857316098640999251,C17H16O,237.128,16.957,1.0
22579,857316098745856859,C20H37NO2,324.29,17.048,1.0
22645,857316098854908771,C22H43N5,378.358,17.082,0.814
22742,857316098901046119,C19H40O4,333.3,17.093,0.998
22674,857316099010098031,C16H30O4,287.222,17.109,1.0
22620,857316098955572075,C17H36O3,289.274,17.114,1.0
22772,857316099114955639,C16H24O7,329.159,17.155,1.0
22781,857316099232396159,C20H34O8,403.232,17.155,1.0
22778,857316099291116419,C21H32N2O5,431.192,17.157,1.0
22820,857316099404362635,C17H36O3,289.274,17.255,1.0
22896,857316099454694287,C15H31NO,242.248,17.266,1.0
22939,857316099521803155,C16H30O4,287.222,17.3,1.0
23257,857316099618272155,C16H30O4,287.222,17.477,1.0
23492,857316099777655719,C17H36O3,289.274,17.639,1.0
23569,857316099832181675,C24H46O5,432.368,17.657,1.0
23573,857316099878319023,C22H42O5,387.31,17.657,1.0
23594,857316099932844979,C22H40O,338.342,17.693,1.0
23706,857316100033508283,C24H38O5,407.279,17.753,0.976
23964,857316100088034239,C10H30O5Si5,371.101,17.947,1.0
24018,857316100150948803,C12H38O7Si6,445.12,17.948,0.994
24026,857316100218057671,C8H24O4Si4,297.082,17.949,0.945
24048,857316100452938711,C6H18O3Si3,223.064,17.953,1.0
24311,857316100595545059,C19H40O4,333.3,18.126,0.999
24382,857316100650071015,C20H42OSi,327.308,18.154,1.0
24494,857316100746540015,C24H38O5,407.279,18.219,0.999
24490,857316100792677363,C26H45NO5,452.337,18.222,0.999
24542,857316100939478015,C24H36O5,405.263,18.254,0.992
24554,857316100985615363,C24H36O5,422.29,18.259,0.878
24627,857316101031752711,C21H30ClN3O3,446.162,18.294,0.999
24643,857316101073695755,C22H45NO2,356.352,18.332,1.0
24823,857316101153387539,C19H39NO2S,346.277,18.459,1.0
24829,857316101195330583,C22H45NO2,356.352,18.462,1.0
24876,857316101270828063,C26H45NO5,452.337,18.512,0.999
24912,857316101384074283,C28H35NO2,456.23,18.522,0.802
